LocationId,Project,Country,State,City,Neighbourhood,WeekStartDate,WeekNumber,Day,FaireeId,remaining_avail,Slots_less_than_1hr,Slots_1hr_to_2hr,Slots_more_than_2hr,bookable_hours,utilisation_index,non,effective_bookable_hours,effective_remaining_hours,effective_Slots_less_than_1hr,effective_Slots_1hr_to_2hr,effective_Slots_more_than_2hr
15,Silver Towers,US,NY,New York,Hell's Kitchen Polygon,2026-07-26,3,FRIDAY,60,1.0,2,0,0,8.0000000000000000,1.00000000000000000000,1,8.00,1.00,2.00,0.00,0.00
114,20 Broad Street,US,NY,New York,Financial District Polygon,2026-07-26,3,FRIDAY,45,1.5,3,0,0,8.0000000000000000,0.45454545454545454545,1,3.64,0.68,1.36,0.00,0.00
17,River Place,US,NY,New York,Hell's Kitchen Polygon,2026-08-09,1,THURSDAY,63,4.0,1,0,1,8.0000000000000000,0.71428571428571428571,1,5.71,2.86,0.71,0.00,0.71
114,20 Broad Street,US,NY,New York,Financial District Polygon,2026-07-26,3,TUESDAY,39,4.0,2,0,1,8.0000000000000000,1.00000000000000000000,1,8.00,4.00,2.00,0.00,1.00
15,Silver Towers,US,NY,New York,Hell's Kitchen Polygon,2026-08-09,1,MONDAY,60,1.5,2,0,0,8.0000000000000000,0.50000000000000000000,1,4.00,0.75,1.00,0.00,0.00
17,River Place,US,NY,New York,Hell's Kitchen Polygon,2026-08-02,4,THURSDAY,63,3.0,4,0,0,8.0000000000000000,0.66666666666666666667,1,5.33,2.00,2.67,0.00,0.00
75,The Devan,US,NJ,Jersey City,Hoboken Polygon,2026-08-16,2,TUESDAY,139,1.5,0,1,0,8.0000000000000000,0.09090909090909090909,1,0.73,0.14,0.00,0.09,0.00
195,Flow Brickell,US,FL,Miami,Flow Brickell Polygon,2026-07-26,3,MONDAY,149,2.5,3,0,0,8.0000000000000000,1.00000000000000000000,1,8.00,2.50,3.00,0.00,0.00
41,John Street 116,US,NY,New York,Financial District Polygon,2026-07-26,3,FRIDAY,45,1.5,3,0,0,8.0000000000000000,0.54545454545454545455,1,4.36,0.82,1.64,0.00,0.00
123,Flamingo South Beach,US,FL,Miami Beach,Miami Beach Polygon,2026-07-26,3,FRIDAY,110,2.0,3,0,0,8.0000000000000000,0.45454545454545454545,1,3.64,0.91,1.36,0.00,0.00
93,Union Channel ,US,NY,Brooklyn,Boerum Hill Polygon,2026-08-02,4,THURSDAY,96,5.0,2,0,1,8.0000000000000000,0.33333333333333333333,1,2.67,1.67,0.67,0.00,0.33
195,Flow Brickell,US,FL,Miami,Flow Brickell Polygon,2026-08-09,1,THURSDAY,149,3.0,2,1,0,8.0000000000000000,0.40000000000000000000,1,3.20,1.20,0.80,0.40,0.00
140,Southgate Towers,US,FL,Miami Beach,Miami Beach Polygon,2026-08-16,2,MONDAY,110,3.5,2,1,0,8.0000000000000000,0.22222222222222222222,1,1.78,0.78,0.44,0.22,0.00
51,300 Somerset,US,NJ,Harrison,Harrison Polygon,2026-08-02,4,TUESDAY,15,4.0,0,2,0,8.0000000000000000,1.00000000000000000000,1,8.00,4.00,0.00,2.00,0.00
140,Southgate Towers,US,FL,Miami Beach,Miami Beach Polygon,2026-07-26,3,MONDAY,137,2.0,4,0,0,8.0000000000000000,0.30000000000000000000,1,2.40,0.60,1.20,0.00,0.00
104,Midtown 5,US,FL,Miami,Midtown 5,2026-08-09,1,MONDAY,146,3.0,1,0,1,8.0000000000000000,0.50000000000000000000,1,4.00,1.50,0.50,0.00,0.50
122,Flamingo Point North Tower,US,FL,Miami Beach,Miami Beach Polygon,2026-08-16,2,MONDAY,118,1.5,3,0,0,8.0000000000000000,0.46153846153846153846,1,3.69,0.69,1.38,0.00,0.00
75,The Devan,US,NJ,Jersey City,Hoboken Polygon,2026-08-16,2,FRIDAY,139,2.5,1,1,0,8.0000000000000000,0.55555555555555555556,1,4.44,1.39,0.56,0.56,0.00
123,Flamingo South Beach,US,FL,Miami Beach,Miami Beach Polygon,2026-07-26,3,FRIDAY,118,0.5,1,0,0,8.0000000000000000,0.61538461538461538462,1,4.92,0.31,0.62,0.00,0.00
121,Flamingo Point Center Tower,US,FL,Miami Beach,Miami Beach Polygon,2026-08-02,4,MONDAY,110,3.0,1,0,1,8.0000000000000000,0.50000000000000000000,1,4.00,1.50,0.50,0.00,0.50
15,Silver Towers,US,NY,New York,Hell's Kitchen Polygon,2026-08-16,2,THURSDAY,73,3.0,1,0,1,8.0000000000000000,0.28571428571428571429,1,2.29,0.86,0.29,0.00,0.29
205,1 River Place,US,NY,New York,Hell's Kitchen Polygon,2026-08-16,2,WEDNESDAY,60,0.5,1,0,0,8.0000000000000000,0.42857142857142857143,1,3.43,0.21,0.43,0.00,0.00
77,Oliver on the Hudson,US,NJ,Jersey City,Floating Jersey,2026-07-26,3,THURSDAY,139,2.0,1,1,0,8.0000000000000000,0.90909090909090909091,1,7.27,1.82,0.91,0.91,0.00
